ᴳᵁᴵᴰᴼ,1,0,1
µBio,305,320,26
µilad,2,0,1
0__,3,1,3
0_o,1,0,1
0_o,1,0,1
0_o,1,0,2
0_o,1,0,1
0_o,2,0,1
0_o,1,0,0
000,1,0,0
000,2,1,0
0000,0,0,0
00010000,6,13,7
001,1,0,0
001,157,137,11
007,1,0,1
007,2,0,2
007jet,0,0,0
00freedom,1,0,1
00noOne,1,0,1
010,3,0,5
0100110010101,54,77,15
01001111,29,7,3
010110110101,0,0,0
0124816,25,16,11
01AutoMonkey,2,0,1
01d,5,0,4
01es,33,14,10
01walid,0,0,0
02Anant,2,2,2
02strich,1,0,2
03B,2,0,1
03it49,0,0,0
03Usr,0,0,0
05WRXSTi,2,0,4
07hc420,1,0,0
08Hawkeye,11,15,7
09-45,1,0,1
0atman,13,51,8
0b10011,1,0,0
0bfus,6,0,6
0bj3ct.m3th0d,9,0,5
0bserver07,0,0,0
0bytes,3,0,2
0concern,1,0,0
0cool,24,20,6
0dd_b1t,16,31,6
0fnt,25,17,8
0GiS0,1,0,1
0l33l,3,0,3
0m3r,0,0,0
0m4r,13,23,7
0NLY777,1,0,1
0nwards,0,0,0
0pcl,12,8,8
0ph3l14,1,0,0
0plus1,74,76,14
0rca,0,0,0
0scar,54,65,16
0sh,4,4,1
0sumgain,11,7,9
0SX,21,30,7
0tar0gz,0,0,2
0v3rth3d4wn,0,0,0
0wl,1,0,0
0x1b,0,0,1
0x1mason,4,4,6
0x24a537r9,5,4,3
0x2D9A3,34,42,13
0x3333,1,0,4
0x434D53,5,0,3
0x44,0,0,0
0x49D1,65,77,14
0x5f3759df,0,0,0
0x69,1,0,1
0x6adb015,34,28,12
0x808080,8,0,5
0x808080,1,0,0
0x89,24,25,11
0x8b4df00d,3,0,1
0x8badf00d,6,11,6
0x90,4,2,5
0x90,11,5,6
0xab3d,6,24,5
0xAF,4,2,2
0xAX,113,54,10
0xB33F,1,0,1
0xbaadf00d,1,0,1
0xBAADF00D,0,0,0
0xbadbeef,1,0,2
0xbadf00d,9,6,3
0xbeefdead,0,0,0
0xC0000022L,0,0,0
0xC0DEFACE,34,47,15
0xCAFEBABE,33,14,6
0xced,43,33,14
0xception,0,0,0
0xDE4E15B,8,12,4
0xDEAD BEEF,29,30,8
0xDEADBEEF,0,0,0
0xDEADBEEF,17,8,5
0xDEFACE,2,0,3
0xe9,1,0,2
0xF,1,0,1
0xf3f,0,0,0
0xFaCeB00c,4,0,3
0xfaded,1,0,2
0xfe,42,9,9
0xFF,1,0,1
0xFF,61,64,24
0xFF,1,0,0
0xFF,1,0,1
0xff0000,7,17,6
0xff00ff,1,0,0
0xG,1,0,0
0xHenry,4,3,6
0xhiryuu,1,0,0
0XO,1,0,2
0xSeb,2,0,1
0zkar,1,0,0
1'''',7,3,3
1.01pm,12,20,15
1.21 gigawatts,10,6,6
1.618,10,0,3
1_am_Jack,0,0,0
10 cls,2,1,2
1000 Needles,1,0,1
1000i1,5,0,5
1001010101,2,0,2
10010110,1,0,0
100grams,0,0,0
100KG,1,0,2
100r,18,21,7
100rabh,57,44,9
101010110101,24,30,22
1015,1,0,2
101V,0,0,0
1073x,0,0,0
1077,6,1,7
108,16,7,16
109221793,87,157,8
10goto10,1,0,0
10goto10,18,5,9
10ToedSloth,14,27,8
10us,1,1,4
10wattmindtrip,0,0,0
1100101,0,0,0
1101,1,0,0
1101,1,0,0
1101,1,0,0
1101,1,0,0
1101,1,0,0
1101,1,0,0
111,1,0,0
1110,21,39,6
1111000110,0,0,0
111111,2,1,3
1111161171159459134,1,3,3
1-14x0r,0,0,0
11helen,1,0,3
11Monkeys,4,0,3
11to3,1,0,0
12 Dogs,1,0,1
123,1,0,1
123,1,0,1
123,4,0,2
123,1,0,0
123,2,0,2
123,1,0,0
1-2-3,1,0,2
123 456 789 0,17,21,10
1234,0,0,1
12345,8,19,4
12345,0,0,0
12345,9,5,7
1234sdf,1,0,0
123abc,5,0,3
123Developer,30,6,9
123Ex,2,0,3
123Ex,6,0,3
123hal321,8,10,5
123kit,1,0,1
123quatre,1,0,0
123quatre,1,0,0
12983,3,0,3
12ChocolateBrownies,0,0,0
12d3,3,0,2
12may,1,0,2
12mrsaturns,1,0,1
131,1,1,2
131nary,1,0,2
1337,1,0,3
133794m3r,3,2,5
1337c0d3r,8,0,2
1337holiday,20,36,5
1337ingDisorder,1,2,2
13470,0,0,0
135498,3,4,1
1355,3,12,4
